Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 2810 	| explore_rate: 0.028 	| return: 18.177
episode: 2820 	| explore_rate: 0.027 	| return: 17.664
episode: 2830 	| explore_rate: 0.025 	| return: 18.26
episode: 2840 	| explore_rate: 0.024 	| return: 15.947
episode: 2850 	| explore_rate: 0.022 	| return: 18.393
episode: 2860 	| explore_rate: 0.021 	| return: 18.26
episode: 2870 	| explore_rate: 0.019 	| return: 18.26
episode: 2880 	| explore_rate: 0.018 	| return: 18.26
episode: 2890 	| explore_rate: 0.016 	| return: 18.26
episode: 2900 	| explore_rate: 0.015 	| return: 18.26
episode: 2910 	| explore_rate: 0.013 	| return: 18.26
episode: 2920 	| explore_rate: 0.012 	| return: 18.177
episode: 2930 	| explore_rate: 0.01 	| return: 18.26
episode: 2940 	| explore_rate: 0.009 	| return: 18.26
episode: 2950 	| explore_rate: 0.007 	| return: 18.26
episode: 2960 	| explore_rate: 0.006 	| return: 18.26
episode: 2970 	| explore_rate: 0.004 	| return: 18.26
episode: 2980 	| explore_rate: 0.003 	| return: 18.26
episode: 2990 	| explore_rate: 0.001 	| return: 18.26
Traceback (most recent call last):
  File "/home/s4278836/polyInfect/run_experiment.py", line 139, in <module>
    test_explore_rate = args.test_explore_rate,
  File "/home/s4278836/polyInfect/run_experiment.py", line 82, in run
    train_fig = viz.visualize_train(train_perf_file = perf_filename, 
TypeError: visualize_train() missing 1 required positional argument: 'episode_time_max'
